"subject" "activity"
1 "downstairs"
1 "laying"
1 "sitting"
1 "standing"
1 "upstairs"
1 "walking"
2 "downstairs"
2 "laying"
2 "sitting"
2 "standing"
2 "upstairs"
2 "walking"
3 "downstairs"
3 "laying"
3 "sitting"
3 "standing"
3 "upstairs"
3 "walking"
4 "downstairs"
4 "laying"
4 "sitting"
4 "standing"
4 "upstairs"
4 "walking"
5 "downstairs"
5 "laying"
5 "sitting"
5 "standing"
5 "upstairs"
5 "walking"
6 "downstairs"
6 "laying"
6 "sitting"
6 "standing"
6 "upstairs"
6 "walking"
7 "downstairs"
7 "laying"
7 "sitting"
7 "standing"
7 "upstairs"
7 "walking"
8 "downstairs"
8 "laying"
8 "sitting"
8 "standing"
8 "upstairs"
8 "walking"
9 "downstairs"
9 "laying"
9 "sitting"
9 "standing"
9 "upstairs"
9 "walking"
10 "downstairs"
10 "laying"
10 "sitting"
10 "standing"
10 "upstairs"
10 "walking"
11 "downstairs"
11 "laying"
11 "sitting"
11 "standing"
11 "upstairs"
11 "walking"
12 "downstairs"
12 "laying"
12 "sitting"
12 "standing"
12 "upstairs"
12 "walking"
13 "downstairs"
13 "laying"
13 "sitting"
13 "standing"
13 "upstairs"
13 "walking"
14 "downstairs"
14 "laying"
14 "sitting"
14 "standing"
14 "upstairs"
14 "walking"
15 "downstairs"
15 "laying"
15 "sitting"
15 "standing"
15 "upstairs"
15 "walking"
16 "downstairs"
16 "laying"
16 "sitting"
16 "standing"
16 "upstairs"
16 "walking"
17 "downstairs"
17 "laying"
17 "sitting"
17 "standing"
17 "upstairs"
17 "walking"
18 "downstairs"
18 "laying"
18 "sitting"
18 "standing"
18 "upstairs"
18 "walking"
19 "downstairs"
19 "laying"
19 "sitting"
19 "standing"
19 "upstairs"
19 "walking"
20 "downstairs"
20 "laying"
20 "sitting"
20 "standing"
20 "upstairs"
20 "walking"
21 "downstairs"
21 "laying"
21 "sitting"
21 "standing"
21 "upstairs"
21 "walking"
22 "downstairs"
22 "laying"
22 "sitting"
22 "standing"
22 "upstairs"
22 "walking"
23 "downstairs"
23 "laying"
23 "sitting"
23 "standing"
23 "upstairs"
23 "walking"
24 "downstairs"
24 "laying"
24 "sitting"
24 "standing"
24 "upstairs"
24 "walking"
25 "downstairs"
25 "laying"
25 "sitting"
25 "standing"
25 "upstairs"
25 "walking"
26 "downstairs"
26 "laying"
26 "sitting"
26 "standing"
26 "upstairs"
26 "walking"
27 "downstairs"
27 "laying"
27 "sitting"
27 "standing"
27 "upstairs"
27 "walking"
28 "downstairs"
28 "laying"
28 "sitting"
28 "standing"
28 "upstairs"
28 "walking"
29 "downstairs"
29 "laying"
29 "sitting"
29 "standing"
29 "upstairs"
29 "walking"
30 "downstairs"
30 "laying"
30 "sitting"
30 "standing"
30 "upstairs"
30 "walking"
